,Unnamed: 0,mesh_area,mesh_rectangularity,mesh_eccentricity,mesh_volume,mesh_a3,mesh_d1,mesh_d2,mesh_d3,mesh_d4,mesh_compactness,mesh_diameter,mesh_convexity,ID,class
0,0,0.5211988361772001,-0.8617876068874349,-0.19473523314440658,-0.5219177463659789,"[0.16834 0.19614 0.1496  0.1189  0.11266 0.09386 0.069   0.05136 0.0301
 0.01004]","[0.25662778 0.56680806 0.16436903 0.01219512 0.         0.
 0.         0.         0.         0.        ]","[2.13458048e-01 3.14652679e-01 2.96404140e-01 1.38888335e-01
 3.13715323e-02 5.08565844e-03 1.39606310e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","[1.6890e-01 4.7836e-01 2.5048e-01 8.8420e-02 1.2520e-02 1.2600e-03
 6.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]","[4.1552e-01 5.0262e-01 7.8560e-02 3.2800e-03 2.0000e-05 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",0.03768443271667912,0.15240846274753794,-0.9728875863469426,588,handheld
1,1,0.14237021216619006,-0.19602491350464124,-0.20865184762685338,0.09161849428075083,"[0.11782 0.2123  0.19854 0.15556 0.1147  0.07704 0.05532 0.03774 0.02374
 0.00724]","[0.24834268 0.45079041 0.27231005 0.02855686 0.         0.
 0.         0.         0.         0.        ]","[0.11126404 0.33636527 0.35625237 0.14784673 0.04097102 0.00730058
 0.         0.         0.         0.        ]","[9.0760e-02 3.6460e-01 3.8490e-01 1.4172e-01 1.7880e-02 1.4000e-04
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]","[2.0076e-01 5.1474e-01 2.5522e-01 2.8780e-02 5.0000e-04 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",-0.08640769118324712,-0.08696201014232476,-0.2151389452477452,1813,satellite_dish
2,2,-0.631512440060965,-0.6887817192196494,-0.19198336717762024,-0.4494188671368727,"[0.18278 0.21488 0.15798 0.11284 0.08912 0.07258 0.0647  0.0542  0.03766
 0.01326]","[0.4208687  0.39390914 0.15776335 0.02745881 0.         0.
 0.         0.         0.         0.        ]","[2.32949107e-01 3.91033823e-01 2.54666560e-01 9.47670708e-02
 2.24952138e-02 4.02839821e-03 5.98276962e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","[2.0874e-01 4.9338e-01 2.4724e-01 4.5600e-02 4.8200e-03 2.2000e-04
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]","[0.47738 0.4562  0.06386 0.00256 0.      0.      0.      0.      0.
 0.     ]",-0.08644829708600255,0.11061713211245629,-0.7869864212565785,0,arthropod
3,3,1.2334253036139697,-0.7986420887144239,-0.20486996518118636,-0.4007271692014604,"[0.1494  0.21272 0.16086 0.12326 0.11326 0.09428 0.06594 0.04332 0.0268
 0.01016]","[0.46580311 0.07253886 0.29481865 0.16683938 0.         0.
 0.         0.         0.         0.        ]","[0.12755814 0.25984362 0.26941796 0.18963179 0.10525791 0.03913512
 0.00767942 0.00147604 0.         0.        ]","[7.0760e-02 2.9012e-01 3.2924e-01 1.8520e-01 9.7900e-02 2.1280e-02
 5.3400e-03 1.6000e-04 0.0000e+00 0.0000e+00]","[1.8804e-01 4.7096e-01 2.5608e-01 7.2620e-02 1.1360e-02 9.2000e-04
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04946970430574032,2.8048048047607557,-0.9580245083654082,1405,winged_vehicle
4,4,0.5659569744955729,0.0031284017200056986,-0.20721032036099477,1.3083645869580731,"[0.13008 0.19166 0.18766 0.16234 0.11844 0.07576 0.04972 0.04398 0.03514
 0.00522]","[0.08159509 0.38957055 0.51595092 0.01288344 0.         0.
 0.         0.         0.         0.        ]","[0.08134038 0.20253316 0.30328114 0.27186596 0.12121273 0.01976663
 0.         0.         0.         0.        ]","[4.3240e-02 2.1370e-01 3.1630e-01 2.9040e-01 1.2538e-01 1.0960e-02
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]","[1.5284e-01 4.4962e-01 2.9296e-01 9.1620e-02 1.2920e-02 4.0000e-05
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",-0.08663500579798787,0.03622547977451866,0.12053716062805243,1814,satellite_dish
5,5,0.6471134598274256,-0.009074070059279762,-0.19259537935741355,0.1369098021389463,"[0.1775  0.2111  0.13792 0.10214 0.09072 0.07924 0.07368 0.0611  0.04804
 0.01856]","[0.35158501 0.3698367  0.24975985 0.02881844 0.         0.
 0.         0.         0.         0.        ]","[0.17664772 0.36910958 0.24343404 0.14236714 0.05204906 0.01639246
 0.         0.         0.         0.        ]","[0.15502 0.46806 0.29026 0.07538 0.01034 0.00094 0.      0.      0.
 0.     ]","[3.6968e-01 5.3282e-01 9.4040e-02 3.4400e-03 2.0000e-05 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",-0.08585019504688399,-0.342325291798982,0.24924841135763742,589,handheld
6,6,-0.6041316256931825,-0.17753659432338467,-0.16042479539177437,-0.26279049576378677,"[0.22816 0.20306 0.13178 0.09452 0.08172 0.07036 0.06266 0.0579  0.0493
 0.02054]","[0.32718651 0.40410959 0.26606955 0.00263435 0.         0.
 0.         0.         0.         0.        ]","[0.2118372  0.35758869 0.23841905 0.11883064 0.06576665 0.00755778
 0.         0.         0.         0.        ]","[1.7630e-01 5.2394e-01 2.6526e-01 3.4360e-02 1.4000e-04 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]","[4.0984e-01 5.4472e-01 4.5280e-02 1.6000e-04 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",-0.08668465588715957,-0.36749517207016724,-0.15509018850296558,1,arthropod
7,7,-0.6579836445489808,-0.9026892101508805,-0.2000649810494036,-0.5750022361315341,"[0.16966 0.2002  0.15022 0.12502 0.10856 0.08466 0.06782 0.04814 0.03386
 0.01186]","[0.67895363 0.30915577 0.0059453  0.00475624 0.00118906 0.
 0.         0.         0.         0.        ]","[4.58706626e-01 4.25424507e-01 9.69132231e-02 1.63018537e-02
 2.49416366e-03 1.59626474e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","[5.692e-01 3.867e-01 4.004e-02 3.780e-03 2.800e-04 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00]","[0.80428 0.191   0.00472 0.      0.      0.      0.      0.      0.
 0.     ]",0.05579667302051264,-0.6518434616298087,-1.0415190834056116,1406,winged_vehicle
8,8,-0.31393690481378156,-0.889770751857917,-0.1659567065920774,-0.5690523393648362,"[0.20588 0.1791  0.13324 0.10836 0.0926  0.08346 0.06844 0.06336 0.05048
 0.01508]","[0.48678414 0.19162996 0.25550661 0.05726872 0.00881057 0.
 0.         0.         0.         0.        ]","[0.24149762 0.2174815  0.32471625 0.11928271 0.0668422  0.02461453
 0.0055652  0.         0.         0.        ]","[3.4854e-01 2.6300e-01 2.5632e-01 9.8040e-02 2.6580e-02 6.6200e-03
 8.6000e-04 4.0000e-05 0.0000e+00 0.0000e+00]","[0.57892 0.32914 0.08564 0.0063  0.      0.      0.      0.      0.
 0.     ]",0.6828415246588355,1.1667266769414988,-1.0225087707336558,10,arthropod
9,9,-0.6070934635633124,-0.36045938433449765,-0.06528738272643642,-0.5007103860793379,"[0.27044 0.19314 0.10954 0.07822 0.0657  0.06174 0.06216 0.06116 0.06684
 0.03106]","[0.41927083 0.39947917 0.12916667 0.05208333 0.         0.
 0.         0.         0.         0.        ]","[0.27887032 0.34746101 0.19374526 0.11308788 0.05205632 0.01477921
 0.         0.         0.         0.        ]","[0.27204 0.60702 0.1176  0.00334 0.      0.      0.      0.      0.
 0.     ]","[6.4764e-01 3.5174e-01 6.2000e-04 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",-0.08571674350934377,-0.6090048185339287,-0.40042595435982326,182,human
